time,seconds_elapsed,z,y,x
1700935960999751400,0.15175146484375,6.804412364959717,6.746677875518799,-2.102003574371338
1700935961016746800,0.168746826171875,6.909947395324707,6.651645660400391,-2.0601816177368164
1700935961033736000,0.18573583984375,6.968029975891113,6.616357326507568,-1.9764800071716309
1700935961050732000,0.20273193359375,6.980434894561768,6.634760856628418,-1.8680462837219238
1700935961067714600,0.219714599609375,6.9600934982299805,6.682096481323242,-1.7727899551391602
1700935961084718300,0.23671826171875,6.9335246086120605,6.731723785400391,-1.6870802640914917
1700935961101708800,0.253708740234375,6.913774490356445,6.769735813140869,-1.614470362663269
1700935961118703900,0.270703857421875,6.879310131072998,6.812226295471191,-1.5826480388641357
1700935961135699000,0.287698974609375,6.810409069061279,6.885098934173584,-1.56520414352417
1700935961152687900,0.30468798828125,6.717809200286865,6.9838690757751465,-1.5273284912109375
1700935961169684000,0.32168408203125,6.616003036499023,7.09649133682251,-1.4506659507751465
1700935961186678300,0.33867822265625,6.491021633148193,7.2291154861450195,-1.3574388027191162
1700935961203667500,0.35566748046875,6.340856075286865,7.376493453979492,-1.2716174125671387
1700935961220663800,0.372663818359375,6.220427513122559,7.49674129486084,-1.1581305265426636
1700935961237656300,0.38965625,6.137872695922852,7.58296012878418,-1.0302224159240723
1700935961254639900,0.406639892578125,6.092318534851074,7.638681888580322,-0.8776738047599792
1700935961271641300,0.423641357421875,6.072519779205322,7.675755023956299,-0.665882408618927
1700935961288635000,0.440634765625,6.029795169830322,7.729072093963623,-0.37301406264305115
1700935961305630500,0.45763037109375,5.9220685958862305,7.820805072784424,-0.014955716207623482
1700935961322619400,0.474619384765625,5.786238193511963,7.912042617797852,0.3938751816749573
1700935961339615700,0.49161572265625,5.695091247558594,7.949735641479492,0.7770149111747742
1700935961356610000,0.508610107421875,5.697600364685059,7.910688877105713,1.0929136276245117
1700935961373589500,0.525589599609375,5.718957424163818,7.848890781402588,1.3872809410095215
1700935961390598400,0.542598388671875,5.688246250152588,7.809669494628906,1.699709415435791
1700935961407588000,0.559588134765625,5.568350315093994,7.812485218048096,2.0480868816375732
1700935961424583400,0.57658349609375,5.419731616973877,7.805516242980957,2.4364986419677734
1700935961441570300,0.5935703125,5.3313775062561035,7.726205348968506,2.849259376525879
1700935961458567700,0.610567626953125,5.3222784996032715,7.57190465927124,3.2520344257354736
1700935961475562500,0.6275625,5.283886909484863,7.408902168273926,3.6639904975891113
1700935961492546300,0.64454638671875,5.131217956542969,7.273687362670898,4.1231303215026855
1700935961509549800,0.6615498046875,4.877817630767822,7.147547721862793,4.621208667755127
1700935961526539300,0.678539306640625,4.625755786895752,6.975091934204102,5.117282867431641
1700935961543531300,0.69553125,4.468364238739014,6.737509250640869,5.556599140167236
1700935961560527600,0.712527587890625,4.3602447509765625,6.4542236328125,5.963838577270508
1700935961577509400,0.72950927734375,4.2018351554870605,6.160974979400635,6.373623847961426
1700935961594514700,0.7465146484375,3.919468402862549,5.849095821380615,6.830955982208252
1700935961611504000,0.763504150390625,3.606235980987549,5.530157566070557,7.255931377410889
1700935961628503300,0.78050341796875,3.378268241882324,5.198677062988281,7.602444648742676
1700935961645494800,0.797494873046875,3.283726930618286,4.825946807861328,7.884383201599121
1700935961662484500,0.814484375,3.2426233291625977,4.447849273681641,8.120230674743652
1700935961679462100,0.831462158203125,3.1446969509124756,4.084755897521973,8.346362113952637
1700935961696463000,0.848463134765625,2.9851272106170654,3.7181031703948975,8.573263168334961
1700935961713460200,0.865460205078125,2.7801454067230225,3.330947160720825,8.798391342163086
1700935961730462500,0.88246240234375,2.5598134994506836,2.9222450256347656,9.007993698120117
1700935961747456000,0.8994560546875,2.353914976119995,2.5127267837524414,9.185935020446777
1700935961764443000,0.91644287109375,2.196621894836426,2.113466501235962,9.324387550354004
1700935961781436200,0.933436279296875,2.0926904678344727,1.7187987565994263,9.428812026977539
1700935961798431200,0.95043115234375,2.005333185195923,1.3056169748306274,9.513680458068848
1700935961815426300,0.96742626953125,1.9044142961502075,0.8737488985061646,9.583626747131348
1700935961832412700,0.98441259765625,1.7706972360610962,0.4329278767108917,9.639155387878418
1700935961849413400,1.001413330078125,1.631822943687439,-0.0016334197716787457,9.673327445983887
1700935961866412300,1.018412353515625,1.5074175596237183,-0.42156732082366943,9.684322357177734
1700935961883394800,1.035394775390625,1.4254786968231201,-0.8304017186164856,9.670292854309082
1700935961900391200,1.05239111328125,1.3793541193008423,-1.2224186658859253,9.635309219360352
1700935961917383700,1.0693837890625,1.3447667360305786,-1.5735700130462646,9.589140892028809
1700935961934376000,1.0863759765625,1.2781014442443848,-1.8671607971191406,9.54548454284668
1700935961951372000,1.1033720703125,1.1759225130081177,-2.0965466499328613,9.510931968688965
1700935961968363300,1.12036328125,1.0733243227005005,-2.2768540382385254,9.481562614440918
1700935961985358000,1.137358154296875,1.0131056308746338,-2.4283573627471924,9.450546264648438
1700935962002347300,1.15434716796875,1.0263407230377197,-2.5654454231262207,9.412823677062988
1700935962019342800,1.1713427734375,1.0993040800094604,-2.6715261936187744,9.374999046325684
1700935962036339000,1.1883388671875,1.1813621520996094,-2.7311043739318848,9.347811698913574
1700935962053325300,1.2053251953125,1.2323966026306152,-2.756741762161255,9.333686828613281
1700935962070323200,1.2223232421875,1.2407885789871216,-2.7734506130218506,9.327622413635254
1700935962087315700,1.239315673828125,1.2204384803771973,-2.792933702468872,9.324493408203125
1700935962104308000,1.256307861328125,1.1978448629379272,-2.823054552078247,9.318349838256836
1700935962121302300,1.27330224609375,1.1862393617630005,-2.8523051738739014,9.310924530029297
1700935962138286000,1.2902861328125,1.1645712852478027,-2.859797954559326,9.311361312866211
1700935962155285500,1.307285400390625,1.1165142059326172,-2.842787265777588,9.322450637817383
1700935962172283400,1.324283447265625,1.0322680473327637,-2.8210558891296387,9.338746070861816
1700935962189274600,1.341274658203125,0.9961627125740051,-2.8197555541992188,9.343059539794922
1700935962206269700,1.358269775390625,0.9747864603996277,-2.82853102684021,9.342660903930664
1700935962223260700,1.3752607421875,0.9504567384719849,-2.8348004817962646,9.343268394470215
1700935962240255000,1.3922548828125,0.9230830073356628,-2.8216745853424072,9.349982261657715
1700935962257247200,1.409247314453125,0.8977552056312561,-2.775465488433838,9.366266250610352
1700935962274241800,1.42624169921875,0.8665170669555664,-2.690420389175415,9.39398193359375
1700935962291234800,1.44323486328125,0.8183897733688354,-2.5727193355560303,9.431197166442871
1700935962308228400,1.460228271484375,0.764560878276825,-2.442932605743408,9.470144271850586
1700935962325203500,1.477203369140625,0.7302956581115723,-2.322847366333008,9.503007888793945
1700935962342210000,1.4942099609375,0.7221399545669556,-2.211052894592285,9.530261039733887
1700935962359210200,1.511210205078125,0.7230082750320435,-2.0908401012420654,9.55728816986084
1700935962376201200,1.528201171875,0.7184094190597534,-1.9540907144546509,9.586528778076172
1700935962393190700,1.545190673828125,0.7069699168205261,-1.8100438117980957,9.615615844726562
1700935962410196000,1.562196044921875,0.7025038003921509,-1.6774219274520874,9.639962196350098
1700935962427177500,1.579177490234375,0.7182398438453674,-1.5728404521942139,9.65641975402832
1700935962444173000,1.596173095703125,0.750837504863739,-1.4967284202575684,9.666030883789062
1700935962461171200,1.613171142578125,0.7846256494522095,-1.434224247932434,9.672821044921875
1700935962478156500,1.630156494140625,0.8044816255569458,-1.3732088804244995,9.680042266845703
1700935962495151600,1.647151611328125,0.8050762414932251,-1.318390130996704,9.687610626220703
1700935962512144100,1.66414404296875,0.8040348887443542,-1.2876930236816406,9.691825866699219
1700935962529139500,1.681139404296875,0.8137500286102295,-1.2863925695419312,9.691186904907227
1700935962546135800,1.6981357421875,0.8359273672103882,-1.312119483947754,9.6858491897583
1700935962563122400,1.715122314453125,0.8659914135932922,-1.3590542078018188,9.676732063293457
1700935962580118800,1.732118896484375,0.8916062712669373,-1.4136731624603271,9.66657543182373
1700935962597112300,1.7491123046875,0.9020517468452454,-1.4696152210235596,9.657259941101074
1700935962614101500,1.7661015625,0.9022891521453857,-1.5298826694488525,9.647872924804688
1700935962631099000,1.783098876953125,0.9047449827194214,-1.6013364791870117,9.636040687561035
1700935962648090600,1.800090576171875,0.9149776101112366,-1.6890664100646973,9.62008285522461
1700935962665083100,1.817083251953125,0.9317158460617065,-1.7933861017227173,9.59957218170166
1700935962682077400,1.834077392578125,0.9491896629333496,-1.9038532972335815,9.576560020446777
1700935962699070500,1.851070556640625,0.9622043967247009,-2.0125412940979004,9.553009033203125
1700935962716065000,1.86806494140625,0.9660038948059082,-2.118393659591675,9.529709815979004
1700935962733053200,1.88505322265625,0.9619295597076416,-2.2228379249572754,9.506303787231445
1700935962750049000,1.902049072265625,0.9573599696159363,-2.3270139694213867,9.481802940368652
1700935962767045600,1.919045654296875,0.9587522149085999,-2.430640935897827,9.455628395080566
1700935962784028700,1.936028564453125,0.9669079184532166,-2.5306949615478516,9.428509712219238
1700935962801027800,1.95302783203125,0.978258490562439,-2.617988109588623,9.403471946716309
1700935962818025000,1.97002490234375,0.9860978722572327,-2.68747878074646,9.383027076721191
1700935962835017500,1.987017578125,0.9868375658988953,-2.7439396381378174,9.366592407226562
1700935962852008000,2.004008056640625,0.9795577526092529,-2.7953014373779297,9.35215950012207
1700935962869002200,2.021002197265625,0.9635685682296753,-2.8474602699279785,9.33807373046875
1700935962885997000,2.0379970703125,0.9472559690475464,-2.8987812995910645,9.323942184448242
