time,seconds_elapsed,z,y,x
1702059351832151000,0.066151123046875,-0.14553864300251007,-0.3904955983161926,0.5305364727973938
1702059351848809200,0.082809326171875,-0.12217304855585098,-0.4827362596988678,0.6640105247497559
1702059351865639000,0.099638916015625,-0.14278975129127502,-0.6130032539367676,0.7111998796463013
1702059351882640400,0.116640380859375,-0.20005837082862854,-0.9886853694915771,0.7147123217582703
1702059351899638300,0.13363818359375,-0.1537853181362152,-1.578475832939148,0.6429356932640076
1702059351916626400,0.15062646484375,0.07987063378095627,-1.6756033897399902,0.7481572031974792
1702059351933622500,0.16762255859375,0.3952298164367676,-1.0719157457351685,0.8292495608329773
1702059351950609000,0.18460888671875,0.43020185828208923,-0.9619600176811218,0.8930850028991699
1702059351967608000,0.201608154296875,0.057879481464624405,-1.0100656747817993,0.9404270648956299
1702059351984603000,0.218602783203125,-0.27779096364974976,-1.5567901134490967,0.8556694984436035
1702059352001600300,0.235600341796875,-0.2886338233947754,-2.5718953609466553,0.7061602473258972
1702059352018594300,0.25259423828125,-0.3703370690345764,-3.2652275562286377,0.8000807762145996
1702059352035588000,0.269588134765625,-0.5019785165786743,-3.392134666442871,0.9283624291419983
1702059352052574000,0.286573974609375,-0.8614727258682251,-3.271946907043457,1.19912850856781
1702059352069589200,0.30358935546875,-1.3222178220748901,-3.187800168991089,1.3952162265777588
1702059352086568400,0.320568359375,-1.563051462173462,-4.052937984466553,1.558011770248413
1702059352103562800,0.337562744140625,-1.548237919807434,-5.595373153686523,1.6410894393920898
1702059352120546800,0.354546875,-1.3849842548370361,-4.747644901275635,1.7925840616226196
1702059352137546000,0.3715458984375,-1.0265589952468872,-3.0552425384521484,2.094046115875244
1702059352154547200,0.388547119140625,-0.6769914031028748,-2.2734878063201904,2.2072088718414307
1702059352171537000,0.405536865234375,-0.5722280144691467,-2.5645649433135986,2.1591031551361084
1702059352188529200,0.422529052734375,-0.760832667350769,-2.9237537384033203,1.9375118017196655
1702059352205515800,0.439515869140625,-0.8190175890922546,-2.3469443321228027,1.5824464559555054
1702059352222529000,0.456529052734375,-0.7359399199485779,-1.190423607826233,1.0322095155715942
1702059352239513000,0.47351318359375,-0.5018258094787598,-0.025961773470044136,0.47830748558044434
1702059352256505900,0.490505859375,-0.3517056703567505,0.4479169547557831,0.1062905490398407
1702059352273502700,0.507502685546875,-0.4034765064716339,0.04734205827116966,-0.07788532227277756
1702059352290498000,0.524498046875,-0.5283984541893005,-0.5526803135871887,-0.07238753139972687
1702059352307486500,0.541486572265625,-0.43676865100860596,-0.46990808844566345,0.05604688450694084
1702059352324481800,0.558481689453125,-0.39187005162239075,0.058337632566690445,0.24098633229732513
1702059352341466600,0.575466552734375,-0.2474004179239273,0.8335255980491638,0.09422596544027328
1702059352358467800,0.5924677734375,-0.3078760802745819,-0.5167919993400574,0.8408560156822205
1702059352375464000,0.6094638671875,-0.44394633173942566,-1.638493299484253,0.493731826543808
1702059352392457500,0.62645751953125,-0.44486260414123535,-1.6022995710372925,0.44776421785354614
1702059352409449200,0.64344921875,-0.5638286471366882,-1.072068452835083,0.47678032517433167
1702059352426446600,0.660446533203125,-0.5119050741195679,-0.5908594131469727,0.637132465839386
1702059352443438800,0.67743896484375,-0.4283692538738251,-0.3627012372016907,0.7678576111793518
1702059352460434400,0.694434326171875,-0.33307427167892456,-0.005345070734620094,0.9161451458930969
1702059352477423900,0.711423828125,-0.3410155177116394,-0.0377209298312664,0.5962044596672058
1702059352494421500,0.72842138671875,-0.37308594584465027,-0.8284859657287598,0.08811730891466141
1702059352511415800,0.745415771484375,-0.3171917796134949,-1.0057896375656128,-0.06918048858642578
1702059352528405800,0.76240576171875,-0.3747658133506775,-0.7287622094154358,-0.01863138936460018
1702059352545403000,0.77940283203125,-0.4567744731903076,-0.4040873646736145,0.1036943718791008
1702059352562396700,0.796396728515625,-0.4625777006149292,-0.13866640627384186,0.2503020465373993
1702059352579388000,0.813387939453125,-0.44806966185569763,-0.06612616032361984,0.41890084743499756
1702059352596384500,0.830384521484375,-0.46639561653137207,-0.13255776464939117,0.4680754840373993
1702059352613377300,0.847377197265625,-0.49357911944389343,-0.20143280923366547,0.2981022298336029
1702059352630371300,0.864371337890625,-0.46379944682121277,-0.20601430535316467,0.05955936014652252
1702059352647365600,0.88136572265625,-0.37950003147125244,-0.14263702929019928,-0.016493361443281174
1702059352664359000,0.89835888671875,-0.2635883390903473,0.02535090781748295,0.050243668258190155
1702059352681355300,0.915355224609375,-0.2733621895313263,0.02321287989616394,0.07956519722938538
1702059352698344700,0.9323447265625,-0.3962988257408142,-0.01466076634824276,0.0832303911447525
1702059352715341600,0.949341552734375,-0.47280970215797424,-0.032528575509786606,0.05849034711718559
1702059352732331000,0.9663310546875,-0.4453207552433014,0.021532999351620674,0.08796459436416626
1702059352749325300,0.9833251953125,-0.35903605818748474,0.01863138936460018,0.11575896292924881
1702059352766324000,1.000323974609375,-0.33505958318710327,0.013439035043120384,0.06658431142568588
1702059352783316000,1.01731591796875,-0.3723223805427551,-0.009773843921720982,-0.0012217304902151227
1702059352800311600,1.0343115234375,-0.3854559659957886,-0.05604688450694084,-0.03940080851316452
1702059352817302800,1.051302734375,-0.39477166533470154,-0.08078692853450775,-0.08521570265293121
1702059352834298600,1.068298583984375,-0.39874228835105896,-0.06582073122262955,-0.05406157299876213
1702059352851292700,1.085292724609375,-0.41523563861846924,-0.003512475173920393,0.022907447069883347
1702059352868287000,1.102286865234375,-0.47739118337631226,0.06490442901849747,0.09193521738052368
1702059352885276400,1.1192763671875,-0.5189300179481506,0.0429132841527462,0.1241583600640297
1702059352902257400,1.13625732421875,-0.5716171264648438,-0.07208210229873657,0.08139779418706894
1702059352919264800,1.1532646484375,-0.6571382880210876,-0.16523905098438263,0.002138028386980295
1702059352936262100,1.17026220703125,-0.7389942407608032,-0.16859880089759827,0.0032070425804704428
1702059352953245700,1.18724560546875,-0.8058840036392212,-0.12782354652881622,0.06520986557006836
1702059352970251800,1.204251708984375,-0.8680394887924194,-0.10674870014190674,0.12660181522369385
1702059352987239700,1.22123974609375,-0.9738719463348389,-0.10231992602348328,0.15974126756191254
1702059353004236300,1.238236328125,-1.1044443845748901,-0.14416420459747314,0.12293662875890732
1702059353021232000,1.255232177734375,-1.2290608882904053,-0.2076941877603531,0.07696902006864548
1702059353038222800,1.272222900390625,-1.36482572555542,-0.21151208877563477,0.11010845750570297
1702059353055218000,1.289218017578125,-1.4897476434707642,-0.19792033731937408,0.14905111491680145
1702059353072213500,1.306213623046875,-1.6336064338684082,-0.182648703455925,0.1618792861700058
1702059353089200600,1.32320068359375,-1.8041905164718628,-0.12522737681865692,0.24617868661880493
1702059353106194000,1.34019384765625,-1.99752938747406,-0.078343465924263,0.3150537610054016
1702059353123199700,1.35719970703125,-2.2047653198242188,-0.08338310569524765,0.2974913716316223
1702059353140186600,1.3741865234375,-2.358856201171875,-0.13729196786880493,0.2652682363986969
1702059353157181200,1.39118115234375,-2.4602596759796143,-0.1638645976781845,0.2773328125476837
1702059353174176300,1.40817626953125,-2.5337162017822266,-0.16401731967926025,0.3208569586277008
1702059353191170600,1.425170654296875,-2.5767822265625,-0.17608191072940826,0.39553526043891907
1702059353208160800,1.442160888671875,-2.6206119060516357,-0.22663100063800812,0.4740314185619354
1702059353225156900,1.459156982421875,-2.6791021823883057,-0.27580565214157104,0.48059824109077454
1702059353242153500,1.476153564453125,-2.7456865310668945,-0.33429601788520813,0.446389764547348
1702059353259142000,1.493141845703125,-2.774397134780884,-0.299018532037735,0.4066835343837738
1702059353276139300,1.51013916015625,-2.6836836338043213,-0.18112154304981232,0.3643811047077179
1702059353293132300,1.52713232421875,-2.5143213272094727,-0.11438451707363129,0.29016098380088806
1702059353310128600,1.544128662109375,-2.3692407608032227,-0.15775595605373383,0.21624629199504852
1702059353327117300,1.561117431640625,-2.286621332168579,-0.22021691501140594,0.20463985204696655
1702059353344111900,1.57811181640625,-2.2259929180145264,-0.16722436249256134,0.2561052441596985
1702059353361111300,1.595111328125,-2.1473441123962402,-0.08048149943351746,0.39064833521842957
1702059353378093000,1.612093017578125,-2.073582172393799,-0.012064588256180286,0.47479501366615295
1702059353395094800,1.6290947265625,-1.9882136583328247,-0.018325956538319588,0.4086688458919525
1702059353412091400,1.64609130859375,-1.9016234874725342,-0.059864792972803116,0.3306308090686798
1702059353429080800,1.663080810546875,-1.8597792387008667,-0.03955352306365967,0.3397938013076782
1702059353446078700,1.68007861328125,-1.8474092483520508,-0.0354301854968071,0.3880521357059479
1702059353463071000,1.697071044921875,-1.8706220388412476,-0.07880161702632904,0.41370847821235657
1702059353480066300,1.71406640625,-1.9185750484466553,-0.13836097717285156,0.40591996908187866
1702059353497056300,1.73105615234375,-1.93598473072052,-0.1621847152709961,0.39416080713272095
1702059353514040600,1.74804052734375,-1.8777997493743896,-0.09529497474431992,0.32940909266471863
1702059353531048700,1.765048583984375,-1.6895005702972412,-0.07437284290790558,0.22113321721553802
1702059353548038000,1.782037841796875,-1.4911220073699951,-0.14737124741077423,0.1059851199388504
1702059353565032400,1.799032470703125,-1.3709343671798706,-0.16371189057826996,0.031001411378383636
1702059353582032400,1.816032470703125,-1.3179417848587036,-0.09407325088977814,0.0757472887635231
1702059353599019800,1.833019775390625,-1.3002266883850098,0.03039054572582245,0.21059578657150269
1702059353616014300,1.850014404296875,-1.3396275043487549,0.09972374886274338,0.365755558013916
1702059353633012000,1.867011962890625,-1.3730723857879639,0.14538592100143433,0.4184426963329315
1702059353649996000,1.88399609375,-1.3222178220748901,0.1108720451593399,0.33337971568107605
1702059353666995000,1.900994873046875,-1.1869112253189087,0.04245513305068016,0.2145664244890213
1702059353683991000,1.917990966796875,-1.0687087774276733,0.07590000331401825,0.20601430535316467
1702059353700987000,1.93498681640625,-1.0488556623458862,0.1459967941045761,0.27259862422943115
1702059353717977600,1.9519775390625,-1.1186469793319702,0.11285735666751862,0.2874121069908142
1702059353734971000,1.968970947265625,-1.1959214210510254,-0.0027488935738801956,0.19975294172763824
1702059353751970000,1.985969970703125,-1.221272349357605,-0.11316278576850891,0.060475658625364304
1702059353768962000,2.002962158203125,-1.1603385210037231,-0.07880161702632904,0.021074850112199783
1702059353785956000,2.0199560546875,-1.0580185651779175,0.04444044828414917,0.13072516024112701
1702059353802948600,2.036948486328125,-0.9808968901634216,0.10002918541431427,0.21868975460529327
1702059353819943400,2.053943359375,-0.9630290865898132,0.058795779943466187,0.21059578657150269
1702059353836934100,2.07093408203125,-0.9566149711608887,0.005803219974040985,0.17150041460990906
1702059353853931000,2.087930908203125,-0.9347765445709229,-0.01160643994808197,0.12507465481758118
1702059353870925600,2.104925537109375,-0.8648324608802795,-0.002138028386980295,0.11056660860776901
1702059353887915300,2.121915283203125,-0.7487680912017822,-0.023518312722444534,0.1411098688840866
1702059353904912000,2.138911865234375,-0.6655376553535461,0.01924225501716137,0.16050484776496887
1702059353921908200,2.155908203125,-0.6165157556533813,0.08216137439012527,0.17256943881511688
1702059353938890000,2.172889892578125,-0.5801692605018616,0.059406645596027374,0.17989981174468994
1702059353955891700,2.1898916015625,-0.5836817622184753,0.010079276748001575,0.14019356667995453
1702059353972889300,2.206889404296875,-0.5641340613365173,-0.047189339995384216,0.057879481464624405
1702059353989878500,2.22387841796875,-0.5025894045829773,-0.051312681287527084,0.039706241339445114
1702059354006872600,2.24087255859375,-0.4127921760082245,-0.010079276748001575,0.05925392732024193
1702059354023868700,2.25786865234375,-0.2981022298336029,0.019853120669722557,0.08765916526317596
1702059354040864500,2.274864501953125,-0.21807889640331268,0.014355333521962166,0.07528914511203766
1702059354057855000,2.29185498046875,-0.2073887437582016,-0.010231993161141872,0.05146539583802223
1702059354074851000,2.30885107421875,-0.21090123057365417,-0.02367102913558483,0.033597588539123535
1702059354091853300,2.325853271484375,-0.20082195103168488,-0.017867809161543846,0.04886921867728233
1702059354108843500,2.342843505859375,-0.18967366218566895,-0.01664607785642147,0.06765332818031311
1702059354125823700,2.35982373046875,-0.17333301901817322,-0.020922135561704636,0.058337632566690445
1702059354142821000,2.376821044921875,-0.13836097717285156,-0.03298672288656235,0.03481931984424591
1702059354159821800,2.39382177734375,-0.10155634582042694,-0.031154127791523933,0.03649919852614403
1702059354176812800,2.410812744140625,-0.06765332818031311,0.01038470957428217,0.05115996301174164
1702059354193810400,2.427810546875,-0.08032877743244171,0.04581489413976669,0.04001167416572571
1702059354210808300,2.444808349609375,-0.10842858254909515,0.025045474991202354,0.021532999351620674
1702059354227778600,2.461778564453125,-0.15821409225463867,0.027488935738801956,0.029016099870204926
1702059354244789000,2.4787890625,-0.1586722433567047,0.038637228310108185,0.03344487398862839
1702059354261785600,2.49578564453125,-0.0806342139840126,0.01237002108246088,0.018020525574684143
1702059354278774500,2.5127744140625,-0.0024434609804302454,-0.03848451003432274,-0.03405573591589928
1702059354295772200,2.529772216796875,0.012064588256180286,-0.08261952549219131,-0.059406645596027374
1702059354312764700,2.5467646484375,-0.01114829070866108,-0.08567385375499725,-0.051312681287527084
1702059354329761000,2.563760986328125,-0.024892758578062057,-0.052839845418930054,-0.005345070734620094
1702059354346750500,2.58075048828125,-0.01771509274840355,-0.02779436856508255,0.01542434748262167
1702059354363746300,2.597746337890625,-0.004123340360820293,-0.04352414980530739,0.012675453908741474
1702059354380731600,2.614731689453125,0.001832595793530345,-0.06322455406188965,-0.009010262787342072
1702059354397732600,2.631732666015625,0.0025961773935705423,-0.07559457421302795,-0.03130684420466423
1702059354414728000,2.64872802734375,0.0027488935738801956,-0.04260785132646561,-0.019853120669722557
1702059354431723500,2.6657236328125,0,-0.010079276748001575,0.0025961773935705423
1702059354448713200,2.682713134765625,-0.04153883829712868,-0.004123340360820293,0.02687807008624077
1702059354465711400,2.69971142578125,-0.11255192011594772,-0.015882495790719986,0.03039054572582245
1702059354482703400,2.716703369140625,-0.1518000066280365,-0.0012217304902151227,0.02672535367310047
1702059354499699200,2.73369921875,-0.14492778480052948,0.029932396486401558,0.029016099870204926
1702059354516688000,2.75068798828125,-0.03940080851316452,0.02687807008624077,0.018936822190880775
1702059354533688000,2.76768798828125,0.08277224004268646,-0.0019853119738399982,-0.03573561832308769
1702059354550680600,2.7846806640625,0.10980302840471268,0.007788531947880983,-0.05742133408784866
1702059354567670300,2.801670166015625,0.08689557760953903,0.053297992795705795,-0.005803219974040985
1702059354584664800,2.818664794921875,0.08994990587234497,0.04489859566092491,0.029168816283345222
1702059354601665300,2.835665283203125,0.08399397134780884,-0.00427605677396059,0.013591751456260681
1702059354618652000,2.85265185546875,0.08246681094169617,-0.017867809161543846,-0.004734205547720194
1702059354635649300,2.869649169921875,0.09987647086381912,0.012064588256180286,-0.02122756652534008
1702059354652640300,2.88664013671875,0.13545936346054077,0.04306599870324135,-0.05467243865132332
1702059354669640700,2.903640625,0.1618792861700058,0.07727445662021637,-0.05192354694008827
